,data,valor
242,1964-04-01,2.76
243,1964-05-01,3.63
244,1964-06-01,2.24
245,1964-07-01,6.85
246,1964-08-01,2.46
247,1964-09-01,3.18
248,1964-10-01,4.57
249,1964-11-01,7.14
250,1964-12-01,7.99
251,1965-01-01,6.1
252,1965-02-01,4.0
253,1965-03-01,12.9
254,1965-04-01,3.15
255,1965-05-01,1.17
256,1965-06-01,0.21
257,1965-07-01,3.13
258,1965-08-01,0.31
259,1965-09-01,1.89
260,1965-10-01,1.82
261,1965-11-01,1.64
262,1965-12-01,0.85
263,1966-01-01,5.14
264,1966-02-01,4.4
265,1966-03-01,5.23
266,1966-04-01,4.17
267,1966-05-01,1.29
268,1966-06-01,0.68
269,1966-07-01,3.27
270,1966-08-01,2.57
271,1966-09-01,1.83
272,1966-10-01,0.76
273,1966-11-01,0.81
274,1966-12-01,0.84
275,1967-01-01,7.15
276,1967-02-01,5.0
277,1967-03-01,7.02
278,1967-04-01,5.05
279,1967-05-01,1.32
280,1967-06-01,1.68
281,1967-07-01,0.92
282,1967-08-01,2.0
283,1967-09-01,1.96
284,1967-10-01,1.13
285,1967-11-01,1.47
286,1967-12-01,0.34
287,1968-01-01,3.39
288,1968-02-01,3.03
289,1968-03-01,2.86
290,1968-04-01,6.11
291,1968-05-01,2.55
292,1968-06-01,3.7
293,1968-07-01,0.82
294,1968-08-01,1.29
295,1968-09-01,1.28
296,1968-10-01,1.79
297,1968-11-01,1.37
298,1968-12-01,0.26
299,1969-01-01,-0.38
300,1969-02-01,3.22
301,1969-03-01,1.0
302,1969-04-01,0.62
303,1969-05-01,2.76
304,1969-06-01,0.66
305,1969-07-01,1.6
306,1969-08-01,0.23
307,1969-09-01,0.93
308,1969-10-01,0.46
309,1969-11-01,0.46
310,1969-12-01,0.46
311,1970-01-01,0.91
312,1970-02-01,1.35
313,1970-03-01,2.67
314,1970-04-01,3.03
315,1970-05-01,2.94
316,1970-06-01,1.23
317,1970-07-01,1.21
318,1970-08-01,0.8
319,1970-09-01,1.63
320,1970-10-01,0.39
321,1970-11-01,0.39
322,1970-12-01,0.77
323,1971-01-01,1.15
324,1971-02-01,1.89
325,1971-03-01,1.12
326,1971-04-01,1.84
327,1971-05-01,1.81
328,1971-06-01,1.06
329,1971-07-01,1.05
330,1971-08-01,0.69
331,1971-09-01,0.69
332,1971-10-01,0.34
333,1971-11-01,0.34
334,1971-12-01,0.0
335,1972-01-01,0.72
336,1972-02-01,0.68
337,1972-03-01,3.69
338,1972-04-01,3.88
339,1972-05-01,4.4
340,1972-06-01,0.3
341,1972-07-01,1.19
342,1972-08-01,1.47
343,1972-09-01,0.87
344,1972-10-01,0.29
345,1972-11-01,0.29
346,1972-12-01,0.57
347,1973-01-01,1.7
348,1973-02-01,1.12
349,1973-03-01,1.93
350,1973-04-01,3.83
351,1973-05-01,2.35
352,1973-06-01,1.02
353,1973-07-01,1.01
354,1973-08-01,1.0
355,1973-09-01,0.99
356,1973-10-01,1.99
357,1973-11-01,1.2
358,1973-12-01,0.95
359,1974-01-01,2.59
360,1974-02-01,2.69
361,1974-03-01,4.04
362,1974-04-01,4.08
363,1974-05-01,4.25
364,1974-06-01,3.98
365,1974-07-01,1.07
366,1974-08-01,0.85
367,1974-09-01,0.86
368,1974-10-01,0.83
369,1974-11-01,1.42
370,1974-12-01,1.47
371,1975-01-01,2.0
372,1975-02-01,1.83
373,1975-03-01,3.86
374,1975-04-01,2.23
375,1975-05-01,2.71
376,1975-06-01,1.02
377,1975-07-01,1.5
378,1975-08-01,0.67
379,1975-09-01,1.22
380,1975-10-01,0.88
381,1975-11-01,2.2
382,1975-12-01,1.7
383,1976-01-01,2.23
384,1976-02-01,3.74
385,1976-03-01,5.3
386,1976-04-01,5.85
387,1976-05-01,5.42
388,1976-06-01,5.06
389,1976-07-01,4.98
390,1976-08-01,4.05
391,1976-09-01,3.97
392,1976-10-01,2.44
393,1976-11-01,2.91
394,1976-12-01,1.2
395,1977-01-01,3.66
396,1977-02-01,5.04
397,1977-03-01,3.17
398,1977-04-01,4.98
399,1977-05-01,5.09
400,1977-06-01,2.1
401,1977-07-01,1.97
402,1977-08-01,1.67
403,1977-09-01,1.81
404,1977-10-01,4.75
405,1977-11-01,2.02
406,1977-12-01,1.43
407,1978-01-01,1.8
408,1978-02-01,1.92
409,1978-03-01,4.45
410,1978-04-01,5.19
411,1978-05-01,2.06
412,1978-06-01,2.49
413,1978-07-01,2.16
414,1978-08-01,2.5
415,1978-09-01,3.19
416,1978-10-01,2.0
417,1978-11-01,2.5
418,1978-12-01,1.68
419,1979-01-01,2.34
420,1979-02-01,2.62
421,1979-03-01,8.15
422,1979-04-01,3.62
423,1979-05-01,4.27
424,1979-06-01,3.53
425,1979-07-01,1.71
426,1979-08-01,3.71
427,1979-09-01,10.26
428,1979-10-01,2.47
429,1979-11-01,3.84
430,1979-12-01,3.67
431,1980-01-01,4.69
432,1980-02-01,9.53
433,1980-03-01,12.79
434,1980-04-01,3.14
435,1980-05-01,4.88
436,1980-06-01,5.73
437,1980-07-01,6.32
438,1980-08-01,10.28
439,1980-09-01,8.01
440,1980-10-01,3.1
441,1980-11-01,5.06
442,1980-12-01,4.99
443,1981-01-01,4.49
444,1981-02-01,14.88
445,1981-03-01,8.06
446,1981-04-01,3.4
447,1981-05-01,3.49
448,1981-06-01,2.36
449,1981-07-01,1.95
450,1981-08-01,12.4
451,1981-09-01,5.53
452,1981-10-01,1.72
453,1981-11-01,3.28
454,1981-12-01,3.11
455,1982-01-01,3.8
456,1982-02-01,10.87
457,1982-03-01,12.54
458,1982-04-01,4.27
459,1982-05-01,5.26
460,1982-06-01,3.67
461,1982-07-01,5.49
462,1982-08-01,16.94
463,1982-09-01,4.02
464,1982-10-01,3.24
465,1982-11-01,4.06
466,1982-12-01,2.37
467,1983-01-01,3.87
468,1983-02-01,12.65
469,1983-03-01,8.29
470,1983-04-01,4.07
471,1983-05-01,7.16
472,1983-06-01,5.06
473,1983-07-01,6.65
474,1983-08-01,16.87
475,1983-09-01,8.91
476,1983-10-01,5.06
477,1983-11-01,12.05
478,1983-12-01,4.94
479,1984-01-01,5.94
480,1984-02-01,21.67
481,1984-03-01,9.36
482,1984-04-01,4.36
483,1984-05-01,7.99
484,1984-06-01,8.93
485,1984-07-01,5.26
486,1984-08-01,27.61
487,1984-09-01,5.6
488,1984-10-01,8.64
489,1984-11-01,8.64
490,1984-12-01,8.16
491,1985-01-01,7.53
492,1985-02-01,13.05
493,1985-03-01,11.59
494,1985-04-01,8.8
495,1985-05-01,22.42
496,1985-06-01,6.37
497,1985-07-01,9.8
498,1985-08-01,13.13
499,1985-09-01,9.62
500,1985-10-01,6.75
501,1985-11-01,20.98
502,1985-12-01,13.51
503,1986-01-01,13.96
504,1986-02-01,12.09
505,1986-03-01,11.05
506,1986-04-01,-0.33
507,1986-05-01,0.24
508,1986-06-01,1.19
509,1986-07-01,1.08
510,1986-08-01,2.69
511,1986-09-01,3.97
512,1986-10-01,3.75
513,1986-11-01,5.17
514,1986-12-01,7.34
515,1987-01-01,14.0
516,1987-02-01,32.46
517,1987-03-01,22.59
518,1987-04-01,13.26
519,1987-05-01,20.09
520,1987-06-01,20.93
521,1987-07-01,7.72
522,1987-08-01,3.31
523,1987-09-01,7.46
524,1987-10-01,10.09
525,1987-11-01,13.17
526,1987-12-01,13.88
527,1988-01-01,17.39
528,1988-02-01,15.78
529,1988-03-01,19.46
530,1988-04-01,17.02
531,1988-05-01,23.64
532,1988-06-01,20.2
533,1988-07-01,19.71
534,1988-08-01,21.89
535,1988-09-01,25.36
536,1988-10-01,34.58
537,1988-11-01,30.72
538,1988-12-01,27.72
539,1989-01-01,31.99
540,1989-02-01,13.92
