,data,valor
245,2020-10-01,0.94
246,2020-11-01,0.81
247,2020-12-01,1.06
248,2021-01-01,0.78
249,2021-02-01,0.48
250,2021-03-01,0.93
251,2021-04-01,0.6
252,2021-05-01,0.44
253,2021-06-01,0.83
254,2021-07-01,0.72
255,2021-08-01,0.89
256,2021-09-01,1.14
257,2021-10-01,1.2
258,2021-11-01,1.17
259,2021-12-01,0.78
260,2022-01-01,0.58
261,2022-02-01,0.99
262,2022-03-01,0.95
263,2022-04-01,1.73
264,2022-05-01,0.59
265,2022-06-01,0.69
266,2022-07-01,0.13
267,2022-08-01,-0.73
268,2022-09-01,-0.37
269,2022-10-01,0.16
