,data,valor
242,1964-04-01,3.78
243,1964-05-01,2.93
244,1964-06-01,4.71
245,1964-07-01,6.38
246,1964-08-01,3.18
247,1964-09-01,4.29
248,1964-10-01,4.63
249,1964-11-01,8.38
250,1964-12-01,4.75
251,1965-01-01,5.05
252,1965-02-01,1.76
253,1965-03-01,4.32
254,1965-04-01,1.82
255,1965-05-01,1.65
256,1965-06-01,1.36
257,1965-07-01,2.39
258,1965-08-01,1.46
259,1965-09-01,1.24
260,1965-10-01,2.81
261,1965-11-01,1.62
262,1965-12-01,2.23
263,1966-01-01,9.11
264,1966-02-01,1.97
265,1966-03-01,1.79
266,1966-04-01,5.2
267,1966-05-01,3.05
268,1966-06-01,1.84
269,1966-07-01,3.87
270,1966-08-01,2.19
271,1966-09-01,2.75
272,1966-10-01,2.69
273,1966-11-01,0.78
274,1966-12-01,0.35
275,1967-01-01,4.1
276,1967-02-01,2.65
277,1967-03-01,1.31
278,1967-04-01,2.0
279,1967-05-01,-0.02
280,1967-06-01,0.56
281,1967-07-01,3.51
282,1967-08-01,0.37
283,1967-09-01,1.41
284,1967-10-01,1.92
285,1967-11-01,1.68
286,1967-12-01,0.65
287,1968-01-01,3.67
288,1968-02-01,2.57
289,1968-03-01,2.34
290,1968-04-01,1.13
291,1968-05-01,0.81
292,1968-06-01,2.09
293,1968-07-01,1.53
294,1968-08-01,1.04
295,1968-09-01,2.5
296,1968-10-01,2.26
297,1968-11-01,1.77
298,1968-12-01,0.22
299,1969-01-01,1.88
300,1969-02-01,1.07
301,1969-03-01,-0.67
302,1969-04-01,1.06
303,1969-05-01,0.96
304,1969-06-01,2.93
305,1969-07-01,2.64
306,1969-08-01,1.98
307,1969-09-01,2.49
308,1969-10-01,2.25
309,1969-11-01,1.32
310,1969-12-01,-0.09
311,1970-01-01,1.57
312,1970-02-01,1.37
313,1970-03-01,1.69
314,1970-04-01,-0.33
315,1970-05-01,1.5
316,1970-06-01,2.38
317,1970-07-01,1.76
318,1970-08-01,2.21
319,1970-09-01,1.93
320,1970-10-01,1.36
321,1970-11-01,0.75
322,1970-12-01,0.93
323,1971-01-01,1.79
324,1971-02-01,1.59
325,1971-03-01,2.55
326,1971-04-01,1.84
327,1971-05-01,1.92
328,1971-06-01,2.79
329,1971-07-01,1.34
330,1971-08-01,0.8
331,1971-09-01,1.53
332,1971-10-01,1.26
333,1971-11-01,1.2
334,1971-12-01,0.99
335,1972-01-01,1.83
336,1972-02-01,2.01
337,1972-03-01,1.32
338,1972-04-01,1.01
339,1972-05-01,0.36
340,1972-06-01,1.04
341,1972-07-01,1.44
342,1972-08-01,1.44
343,1972-09-01,1.22
344,1972-10-01,1.06
345,1972-11-01,1.21
346,1972-12-01,0.94
347,1973-01-01,1.84
348,1973-02-01,1.15
349,1973-03-01,1.38
350,1973-04-01,1.12
351,1973-05-01,0.98
352,1973-06-01,1.04
353,1973-07-01,1.14
354,1973-08-01,1.04
355,1973-09-01,1.08
356,1973-10-01,1.45
357,1973-11-01,1.24
358,1973-12-01,1.07
359,1974-01-01,2.59
360,1974-02-01,2.72
361,1974-03-01,4.63
362,1974-04-01,5.74
363,1974-05-01,3.94
364,1974-06-01,1.74
365,1974-07-01,0.86
366,1974-08-01,1.21
367,1974-09-01,1.73
368,1974-10-01,1.63
369,1974-11-01,1.61
370,1974-12-01,2.41
371,1975-01-01,1.95
372,1975-02-01,2.54
373,1975-03-01,1.03
374,1975-04-01,1.59
375,1975-05-01,2.03
376,1975-06-01,2.44
377,1975-07-01,2.05
378,1975-08-01,2.85
379,1975-09-01,2.54
380,1975-10-01,2.64
381,1975-11-01,2.1
382,1975-12-01,2.25
383,1976-01-01,2.71
384,1976-02-01,3.68
385,1976-03-01,3.68
386,1976-04-01,3.51
387,1976-05-01,3.01
388,1976-06-01,2.21
389,1976-07-01,4.31
390,1976-08-01,4.84
391,1976-09-01,3.52
392,1976-10-01,2.22
393,1976-11-01,1.72
394,1976-12-01,2.3
395,1977-01-01,3.07
396,1977-02-01,2.83
397,1977-03-01,4.3
398,1977-04-01,4.3
399,1977-05-01,3.36
400,1977-06-01,1.58
401,1977-07-01,1.89
402,1977-08-01,0.88
403,1977-09-01,1.55
404,1977-10-01,2.29
405,1977-11-01,2.61
406,1977-12-01,2.18
407,1978-01-01,3.02
408,1978-02-01,3.54
409,1978-03-01,3.5
410,1978-04-01,3.46
411,1978-05-01,3.5
412,1978-06-01,3.61
413,1978-07-01,2.47
414,1978-08-01,2.83
415,1978-09-01,2.69
416,1978-10-01,3.22
417,1978-11-01,3.06
418,1978-12-01,1.39
419,1979-01-01,3.42
420,1979-02-01,3.67
421,1979-03-01,5.98
422,1979-04-01,3.78
423,1979-05-01,2.01
424,1979-06-01,3.57
425,1979-07-01,4.3
426,1979-08-01,6.23
427,1979-09-01,8.25
428,1979-10-01,6.41
429,1979-11-01,5.64
430,1979-12-01,7.22
431,1980-01-01,7.26
432,1980-02-01,3.64
433,1980-03-01,6.5
434,1980-04-01,6.65
435,1980-05-01,7.14
436,1980-06-01,6.41
437,1980-07-01,9.65
438,1980-08-01,6.83
439,1980-09-01,5.23
440,1980-10-01,9.37
441,1980-11-01,8.51
442,1980-12-01,5.12
443,1981-01-01,6.12
444,1981-02-01,8.16
445,1981-03-01,7.9
446,1981-04-01,5.34
447,1981-05-01,6.95
448,1981-06-01,4.43
449,1981-07-01,4.52
450,1981-08-01,5.57
451,1981-09-01,4.99
452,1981-10-01,5.05
453,1981-11-01,5.91
454,1981-12-01,3.45
455,1982-01-01,6.27
456,1982-02-01,6.43
457,1982-03-01,7.15
458,1982-04-01,5.54
459,1982-05-01,5.51
460,1982-06-01,9.25
461,1982-07-01,5.66
462,1982-08-01,4.56
463,1982-09-01,3.36
464,1982-10-01,5.23
465,1982-11-01,5.26
466,1982-12-01,6.02
467,1983-01-01,9.82
468,1983-02-01,5.6
469,1983-03-01,10.75
470,1983-04-01,10.31
