datetime,symbol,open,high,low,close,volume
2018-03-15 19:00:00,VANTAGE:SP500,2753.13,2761.44,2748.44,2751.19,0.0
2018-03-18 19:00:00,VANTAGE:SP500,2751.84,2751.84,2692.71,2718.59,0.0
2018-03-19 19:00:00,VANTAGE:SP500,2717.99,2724.76,2708.62,2719.43,0.0
2018-03-20 19:00:00,VANTAGE:SP500,2719.02,2738.1,2707.98,2713.52,0.0
2018-03-21 19:00:00,VANTAGE:SP500,2713.55,2721.89,2638.84,2643.11,0.0
2018-03-22 19:00:00,VANTAGE:SP500,2642.22,2655.22,2584.35,2595.12,0.0
2018-03-25 19:00:00,VANTAGE:SP500,2593.27,2661.3,2590.11,2658.3,0.0
2018-03-26 19:00:00,VANTAGE:SP500,2658.3,2677.44,2593.64,2610.51,0.0
2018-03-27 19:00:00,VANTAGE:SP500,2610.51,2633.03,2592.33,2608.08,0.0
2018-03-28 19:00:00,VANTAGE:SP500,2608.64,2659.29,2600.71,2636.39,0.0
2018-04-01 19:00:00,VANTAGE:SP500,2633.64,2641.59,2551.79,2583.11,0.0
2018-04-02 19:00:00,VANTAGE:SP500,2582.57,2620.15,2574.72,2613.9,0.0
2018-04-03 19:00:00,VANTAGE:SP500,2612.91,2650.2,2560.64,2645.6,0.0
2018-04-04 19:00:00,VANTAGE:SP500,2645.62,2672.45,2644.31,2662.25,0.0
2018-04-05 19:00:00,VANTAGE:SP500,2662.75,2663.99,2584.61,2604.59,0.0
2018-04-08 19:00:00,VANTAGE:SP500,2607.54,2653.67,2607.54,2618.14,0.0
2018-04-09 19:00:00,VANTAGE:SP500,2617.2,2666.0,2611.85,2653.93,0.0
2018-04-10 19:00:00,VANTAGE:SP500,2654.47,2661.25,2625.53,2642.55,0.0
2018-04-11 19:00:00,VANTAGE:SP500,2642.55,2674.83,2639.27,2664.45,0.0
2018-04-12 19:00:00,VANTAGE:SP500,2663.34,2680.28,2644.38,2656.66,0.0
2018-04-15 19:00:00,VANTAGE:SP500,2673.28,2687.26,2660.87,2680.61,0.0
2018-04-16 19:00:00,VANTAGE:SP500,2679.79,2714.15,2679.09,2705.75,0.0
2018-04-17 19:00:00,VANTAGE:SP500,2705.75,2719.04,2704.42,2711.24,0.0
2018-04-18 19:00:00,VANTAGE:SP500,2711.47,2713.19,2681.45,2693.07,0.0
2018-04-19 19:00:00,VANTAGE:SP500,2692.82,2698.41,2659.64,2671.91,0.0
2018-04-22 19:00:00,VANTAGE:SP500,2683.22,2683.6,2657.54,2672.08,0.0
2018-04-23 19:00:00,VANTAGE:SP500,2672.17,2689.1,2616.28,2635.65,0.0
2018-04-24 19:00:00,VANTAGE:SP500,2635.68,2648.64,2611.53,2646.33,0.0
2018-04-25 19:00:00,VANTAGE:SP500,2646.33,2677.95,2639.92,2673.78,0.0
2018-04-26 19:00:00,VANTAGE:SP500,2674.28,2676.76,2658.4,2671.32,0.0
2018-04-29 19:00:00,VANTAGE:SP500,2671.02,2683.62,2646.66,2646.9,0.0
2018-04-30 19:00:00,VANTAGE:SP500,2647.8,2658.9,2624.91,2657.16,0.0
2018-05-01 19:00:00,VANTAGE:SP500,2657.19,2660.34,2626.35,2628.0,0.0
2018-05-02 19:00:00,VANTAGE:SP500,2627.85,2637.9,2593.05,2633.64,0.0
2018-05-03 19:00:00,VANTAGE:SP500,2633.22,2670.81,2613.72,2665.05,0.0
2018-05-06 19:00:00,VANTAGE:SP500,2664.09,2683.05,2663.1,2670.0,0.0
2018-05-07 19:00:00,VANTAGE:SP500,2669.79,2675.88,2654.04,2672.13,0.0
2018-05-08 19:00:00,VANTAGE:SP500,2671.08,2701.56,2668.32,2697.45,0.0
2018-05-09 19:00:00,VANTAGE:SP500,2697.24,2725.98,2694.0,2717.58,0.0
2018-05-10 19:00:00,VANTAGE:SP500,2717.58,2732.82,2716.65,2730.33,0.0
2018-05-13 19:00:00,VANTAGE:SP500,2728.29,2742.15,2725.29,2729.91,0.0
2018-05-14 19:00:00,VANTAGE:SP500,2728.83,2732.16,2701.38,2710.23,0.0
2018-05-15 19:00:00,VANTAGE:SP500,2710.77,2728.02,2704.77,2722.02,0.0
2018-05-16 19:00:00,VANTAGE:SP500,2721.36,2731.38,2710.26,2718.12,0.0
2018-05-17 19:00:00,VANTAGE:SP500,2717.97,2726.22,2708.22,2712.72,0.0
2018-05-20 19:00:00,VANTAGE:SP500,2729.67,2738.82,2724.3,2732.31,0.0
2018-05-21 19:00:00,VANTAGE:SP500,2731.26,2741.52,2721.51,2725.02,0.0
2018-05-22 19:00:00,VANTAGE:SP500,2724.6,2732.94,2704.59,2730.33,0.0
2018-05-23 19:00:00,VANTAGE:SP500,2729.64,2733.24,2706.0,2727.45,0.0
2018-05-24 19:00:00,VANTAGE:SP500,2726.91,2737.77,2713.56,2718.06,0.0
2018-05-27 19:00:00,VANTAGE:SP500,2726.73,2732.25,2718.75,2723.46,0.0
2018-05-28 19:00:00,VANTAGE:SP500,2722.29,2724.66,2675.46,2693.64,0.0
2018-05-29 19:00:00,VANTAGE:SP500,2693.64,2729.16,2685.96,2723.16,0.0
2018-05-30 19:00:00,VANTAGE:SP500,2721.79,2727.72,2699.16,2706.78,0.0
2018-05-31 19:00:00,VANTAGE:SP500,2706.78,2736.3,2705.34,2733.06,0.0
2018-06-03 19:00:00,VANTAGE:SP500,2730.21,2749.2,2728.71,2746.2,0.0
2018-06-04 19:00:00,VANTAGE:SP500,2745.69,2752.95,2738.94,2751.45,0.0
2018-06-05 19:00:00,VANTAGE:SP500,2751.45,2774.52,2747.82,2773.5,0.0
2018-06-06 19:00:00,VANTAGE:SP500,2772.69,2779.29,2759.67,2772.42,0.0
2018-06-07 19:00:00,VANTAGE:SP500,2770.71,2779.23,2751.72,2777.97,0.0
2018-06-10 19:00:00,VANTAGE:SP500,2770.92,2790.42,2770.41,2782.53,0.0
2018-06-11 19:00:00,VANTAGE:SP500,2782.51,2789.82,2778.48,2788.32,0.0
